"HHID"	"PERID"	"CASE"	"ALTNUM"	"NUMALTS"	"CHOSEN"	"IVTT"	"OVTT"	"TVTT"	"COST"	"DIST"	"WKZONE"	"HMZONE"	"RSPOPDEN"	"RSEMPDEN"	"WKPOPDEN"	"WKEMPDEN"	"VEHAVDUM"	"FEMDUM"	"AGE"	"DRLICDUM"	"NONCADUM"	"NUMVEH"	"HHSIZE"	"HHINC"	"FAMTYPE"	"HHOWNDUM"	"NUMEMPHH"	"NUMADLT"	"NMLT5"	"NM5TO11"	"NM12TO16"	"WKCCBD"	"WKNCCBD"	"CORREDIS"	"VEHBYWRK"	"VOCC"	"COSTINC"	"M_TT"	"NM_TT"	"M_IVTT"	"M_OVTT"
2	1	1	1	5	1	13.38	2	15.38	70.63	7.69	664	726	15.52	9.96	37.26	3.48	1	0	35	1	0	4	1	42.5	7	0	1	1	0	0	0	0	0	0	4	1	1.6618823529411764	15.38		13.38	2
2	1	1	2	5	0	18.38	2	20.38	35.32	7.69	664	726	15.52	9.96	37.26	3.48	1	0	35	1	0	4	1	42.5	7	0	1	1	0	0	0	0	0	0	4	1	.8310588235294117	20.38		18.38	2
2	1	1	3	5	0	20.38	2	22.38	20.18	7.69	664	726	15.52	9.96	37.26	3.48	1	0	35	1	0	4	1	42.5	7	0	1	1	0	0	0	0	0	0	4	1	.4748235294117647	22.38		20.38	2
2	1	1	4	5	0	25.9	15.2	41.1	115.64	7.69	664	726	15.52	9.96	37.26	3.48	1	0	35	1	0	4	1	42.5	7	0	1	1	0	0	0	0	0	0	4	1	2.720941176470588	41.1		25.9	15.2
2	1	1	5	5	0	40.5	2	42.5	0	7.69	664	726	15.52	9.96	37.26	3.48	1	0	35	1	0	4	1	42.5	7	0	1	1	0	0	0	0	0	0	4	1	0		42.5		
3	1	2	1	5	0	29.92	10	39.92	390.81	11.62	738	9	35.81	53.33	32.91	764.19	1	0	40	1	0	1	1	17.5	7	0	1	1	0	0	0	1	0	1	1	0	22.332	39.92		29.92	10
3	1	2	2	5	0	34.92	10	44.92	195.4	11.62	738	9	35.81	53.33	32.91	764.19	1	0	40	1	0	1	1	17.5	7	0	1	1	0	0	0	1	0	1	1	0	11.165714285714285	44.92		34.92	10
3	1	2	3	5	0	21.92	10	31.92	97.97	11.62	738	9	35.81	53.33	32.91	764.19	1	0	40	1	0	1	1	17.5	7	0	1	1	0	0	0	1	0	1	1	0	5.598285714285714	31.92		21.92	10
3	1	2	4	5	1	22.96	14.2	37.16	185	11.62	738	9	35.81	53.33	32.91	764.19	1	0	40	1	0	1	1	17.5	7	0	1	1	0	0	0	1	0	1	1	0	10.571428571428571	37.16		22.96	14.2
3	1	2	5	5	0	58.95	10	68.95	0	11.62	738	9	35.81	53.33	32.91	764.19	1	0	40	1	0	1	1	17.5	7	0	1	1	0	0	0	1	0	1	1	0	0		68.95		
